이름(필수),성별(남/여),출생(4자리),출전부(신인/오픈/개나리 등),연락처,소속클럽,비고/혼복여부(참가/미참가),희망파트너(선택)
김정현,남,1985,신인부,010-1111-2222,안양에이스,미참가,이서브
박용기,남,1988,신인부,010-3333-4444,평촌포핸드,미참가,최발리
이서브,남,1986,신인부,010-5555-6666,안양에이스,미참가,김정현
최발리,남,1989,신인부,010-7777-8888,평촌포핸드,미참가,박용기
정로브,남,1982,신인부,010-9999-0000,만안테니스,미참가,강스매시
강스매시,남,1983,신인부,010-1212-3434,만안테니스,미참가,정로브
오백핸드,남,1990,신인부,010-5656-7878,관악위너스,미참가,조드롭
조드롭,남,1991,신인부,010-9090-1212,관악위너스,미참가,오백핸드
유슬라이스,여,1990,개나리부,010-3434-5656,안양숙녀,미참가,김라켓
김라켓,여,1992,개나리부,010-7878-9090,안양숙녀,미참가,유슬라이스
이지송,여,1985,개나리부,010-1122-3344,평촌우먼,미참가,박스윙
박스윙,여,1984,개나리부,010-5566-7788,평촌우먼,미참가,이지송
임챔프,남,1975,오픈부,010-9900-1122,베테랑클럽,미참가,구고수
구고수,남,1978,오픈부,010-3344-5566,베테랑클럽,미참가,임챔프
나단식,남,1995,신인부,010-7788-9900,독립테니스,미참가,
안초보,여,1998,개나리부,010-2233-4455,새싹클럽,미참가,
